iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
CHE,Europe,Switzerland,24.01.20,,,,,,,,,,,,,,,,,,,,,,3,3,0,0,,,,,tests performed,,,,,,,,,,0,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.944
CHE,Europe,Switzerland,25.01.20,,,,,,,,,,,,,,,,,,,,,,7,4,0.001,0,,,,,tests performed,,,,,,,,,,0,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.944
CHE,Europe,Switzerland,26.01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,0,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.944
CHE,Europe,Switzerland,27.01.20,,,,,,,,,,,,,,,,,,,,,,20,13,0.002,0.002,,,,,tests performed,,,,,,,,,,0,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.944
CHE,Europe,Switzerland,28.01.20,,,,,,,,,,,,,,,,,,,,,,36,16,0.004,0.002,,,,,tests performed,,,,,,,,,,0,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.944
CHE,Europe,Switzerland,29.01.20,,,,,,,,,,,,,,,,,,,,,,65,29,0.008,0.003,,,,,tests performed,,,,,,,,,,0,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.944
CHE,Europe,Switzerland,30.01.20,,,,,,,,,,,,,,,,,,,,,,105,40,0.012,0.005,,,,,tests performed,,,,,,,,,,0,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.944
CHE,Europe,Switzerland,31.01.20,,,,,,,,,,,,,,,,,,,,,,137,32,0.016,0.004,19,0.002,0,,tests performed,,,,,,,,,,0,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.944
CHE,Europe,Switzerland,01.02.20,,,,,,,,,,,,,,,,,,,,,,156,19,0.018,0.002,21,0.002,0,,tests performed,,,,,,,,,,0,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.944
CHE,Europe,Switzerland,02.02.20,,,,,,,,,,,,,,,,,,,,,,167,11,0.019,0.001,22,0.003,0,,tests performed,,,,,,,,,,0,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.944
